URI,Citation URI,Item Label,Project Label,Project URI,Context (1),Context (2),Context (3),Context URI,Latitude (WGS-84),Longitude (WGS-84),Early BCE/CE,Late BCE/CE,Item Category,Published Date,Updated Date,Consists of,Principle Author / Analyst,Donor Institution/sample Source,Dataset Type,Compositional Group,Sample Source Person,Year,Vessel Part Sampled,Photograph No. - Located In Photographs Folder.,Artefact Type,Museum No.,Group (icp),ICP - Ba,ICP - Ca,ICP - Ce,ICP - Cu,ICP - Fe,ICP - Ga,ICP - Hf,ICP - K,ICP - La,ICP - Li,ICP - Mg,ICP - Na,ICP - Ni,ICP - Sc,ICP - Sr,ICP - Ti,ICP - V,ICP - Yb,ICP - Zn,Sample Weight (g)
"http://opencontext.org/subjects/6F5B7E2E-3606-4C9C-0F03-C2FF711445B7","http://n2t.net/ark:/28722/k2zg6mj7d","UNE 103","Asian Stoneware Jars","http://opencontext.org/projects/4B16F48E-6F5D-41E0-F568-FCE64BE6D3FA","Philippines","San Diego","","http://opencontext.org/subjects/2D733C71-AABC-4ED8-4ADB-9C1E18217D86","13.539201","121.168213","1600","1600","Pottery","2013-03-07T00:00:00Z","2017-02-14T02:02:44Z","ceramic","Peter Grave","National Museum of the Philippines","A Ship","2","Eusebio Dizon","1600","base","UNE 103","intact jar","2532","2","342.78","1831.77","71.79","16.14","30403.04","31.44","4.73","16409.87","57.83","42.33","4609.73","2223.93","13.22","12.5","63.67","3562.45","74.09","3.76","105.89","8.5"
"http://opencontext.org/subjects/943D4233-DDEF-4533-F938-E4E52963B0BC","http://n2t.net/ark:/28722/k2qf8pw4h","UNE 277","Asian Stoneware Jars","http://opencontext.org/projects/4B16F48E-6F5D-41E0-F568-FCE64BE6D3FA","Northern Mariana Islands","Conception","","http://opencontext.org/subjects/C488564F-14FA-4869-7BF7-CF70BABB3AEF","15.199386","141.811523","1638","1638","Pottery","2013-03-07T00:00:00Z","2017-02-13T09:49:00Z","ceramic","Peter Grave","Commonwealth of the Northern Mariana Islands Museum","A Ship","1","Linda Torres","1638","base","UNE 277","intact jar","B2585","1","393.18","1295.22","91.36","8.93","16788.22","20.15","7.01","21675.21","66.08","25.83","2148.35","2550.35","10.73","10.2","45.18","3770.51","42.21","3.15","74.24","3"
"http://opencontext.org/subjects/6F5491C1-E707-476D-FEBD-922DCE0A0986","http://n2t.net/ark:/28722/k2gt5ks5w","UNE 329","Asian Stoneware Jars","http://opencontext.org/projects/4B16F48E-6F5D-41E0-F568-FCE64BE6D3FA","Northern Mariana Islands","Conception","","http://opencontext.org/subjects/C488564F-14FA-4869-7BF7-CF70BABB3AEF","15.199386","141.811523","1638","1638","Pottery","2013-03-07T00:00:00Z","2017-02-11T15:50:07Z","ceramic","Peter Grave","Commonwealth of the Northern Mariana Islands Museum","A Ship","1","Linda Torres","1638","base","UNE 329","intact jar","B2151","1","424.05","1297.83","124.1","11.59","16983.75","19.98","4.56","20009.81","76.73","21.38","5056.02","2103.25","11.04","11.22","43.43","4093.87","43.7","3.73","114.55","4"
"http://opencontext.org/subjects/A6CC2674-8D4F-4F10-5894-C2BA9AF9DBAF","http://n2t.net/ark:/28722/k2gb1xm01","UNE 278","Asian Stoneware Jars","http://opencontext.org/projects/4B16F48E-6F5D-41E0-F568-FCE64BE6D3FA","Northern Mariana Islands","Conception","","http://opencontext.org/subjects/C488564F-14FA-4869-7BF7-CF70BABB3AEF","15.199386","141.811523","1638","1638","Pottery","2013-03-07T00:00:00Z","2017-02-11T20:04:02Z","ceramic","Peter Grave","Commonwealth of the Northern Mariana Islands Museum","A Ship","2","Linda Torres","1638","base","UNE 278","intact jar","B1901","2","266.31","1763.44","51.94","11.44","25481.89","22.22","5.84","16254.25","42.19","35.1","4151.05","2289.08","16.45","11.69","46.61","4177.31","63.86","3.03","84.37","4"
"http://opencontext.org/subjects/09D5DB38-3BE5-4F7B-0500-A168ED0EC467","http://n2t.net/ark:/28722/k23x83p7g","UNE 332","Asian Stoneware Jars","http://opencontext.org/projects/4B16F48E-6F5D-41E0-F568-FCE64BE6D3FA","Northern Mariana Islands","Conception","","http://opencontext.org/subjects/C488564F-14FA-4869-7BF7-CF70BABB3AEF","15.199386","141.811523","1638","1638","Pottery","2013-03-07T00:00:00Z","2017-02-13T06:18:16Z","ceramic","Peter Grave","Commonwealth of the Northern Mariana Islands Museum","A Ship","1","Linda Torres","1638","base","UNE 332","intact jar","B2599","1","450.5","1459.33","126.46","10.99","14773.75","19.94","6.75","21739.21","83.31","20.5","3665.74","2242.55","11.08","10.92","47.46","3937.86","42.92","3.65","73.5","4"
"http://opencontext.org/subjects/44278DA7-FD89-4C0E-492C-52102BDCE3A7","http://n2t.net/ark:/28722/k28s4js4d","UNE 246","Asian Stoneware Jars","http://opencontext.org/projects/4B16F48E-6F5D-41E0-F568-FCE64BE6D3FA","Northern Mariana Islands","Conception","","http://opencontext.org/subjects/C488564F-14FA-4869-7BF7-CF70BABB3AEF","15.199386","141.811523","1638","1638","Pottery","2013-03-07T00:00:00Z","2017-02-14T03:39:20Z","ceramic","Peter Grave","Commonwealth of the Northern Mariana Islands Museum","A Ship","2","Linda Torres","1638","base","UNE 246","intact jar","B2528","2","323.28","1370.92","90.13","9.25","26116.83","19.98","4.95","17199.82","50.1","32.67","7191.52","3038.64","23.39","11.46","45.14","3929.52","45.82","3.54","101.13","2"
"http://opencontext.org/subjects/4B88625D-9591-4509-C6A8-31744AA86DA6","http://n2t.net/ark:/28722/k2js9nk4b","UNE 296","Asian Stoneware Jars","http://opencontext.org/projects/4B16F48E-6F5D-41E0-F568-FCE64BE6D3FA","Northern Mariana Islands","Conception","","http://opencontext.org/subjects/C488564F-14FA-4869-7BF7-CF70BABB3AEF","15.199386","141.811523","1638","1638","Pottery","2013-03-07T00:00:00Z","2017-02-09T10:57:21Z","ceramic","Peter Grave","Commonwealth of the Northern Mariana Islands Museum","A Ship","2","Linda Torres","1638","base","UNE 296","intact jar","B1883","2","281.89","1369.36","67.23","11.1","24910.05","20.41","5.89","16695.86","44.5","36.63","5443.71","2648.65","14.04","12.13","44.34","3923.39","63.59","2.91","83.76","1"
"http://opencontext.org/subjects/0C4F9986-A15D-4CDE-6288-F954701EA3D8","http://n2t.net/ark:/28722/k2n29p96t","UNE 257","Asian Stoneware Jars","http://opencontext.org/projects/4B16F48E-6F5D-41E0-F568-FCE64BE6D3FA","Northern Mariana Islands","Conception","","http://opencontext.org/subjects/C488564F-14FA-4869-7BF7-CF70BABB3AEF","15.199386","141.811523","1638","1638","Pottery","2013-03-07T00:00:00Z","2017-02-09T18:14:11Z","ceramic","Peter Grave","Commonwealth of the Northern Mariana Islands Museum","A Ship","1","Linda Torres","1638","base","UNE 257","intact jar","B2505","1","405.98","1083.73","111.79","7.82","18870.28","21.03","8.4","20929.42","75.18","22.03","2018.88","1886.54","9.49","10.47","42.12","3895.84","43.64","3.61","79.91","2.5"
"http://opencontext.org/subjects/1A303D5B-A6CF-45A1-7311-0906BD8609F3","http://n2t.net/ark:/28722/k24x54k7q","UNE 316","Asian Stoneware Jars","http://opencontext.org/projects/4B16F48E-6F5D-41E0-F568-FCE64BE6D3FA","Northern Mariana Islands","Conception","","http://opencontext.org/subjects/C488564F-14FA-4869-7BF7-CF70BABB3AEF","15.199386","141.811523","1638","1638","Pottery","2013-03-07T00:00:00Z","2017-02-09T18:14:24Z","ceramic","Peter Grave","Commonwealth of the Northern Mariana Islands Museum","A Ship","1","Linda Torres","1638","base","UNE 316","intact jar","B1903","1","456.52","2186.28","149.03","16.77","20088.58","22.37","6.69","19235.91","94.18","31.25","3400.02","1674.87","14.81","13.1","50.6","4488.6","57.73","4.6","77.65","1.5"
"http://opencontext.org/subjects/637757CF-0565-4735-734F-B8C36D8FDE39","http://n2t.net/ark:/28722/k24f1rw0g","UNE 385","Asian Stoneware Jars","http://opencontext.org/projects/4B16F48E-6F5D-41E0-F568-FCE64BE6D3FA","Northern Mariana Islands","Conception","","http://opencontext.org/subjects/C488564F-14FA-4869-7BF7-CF70BABB3AEF","15.199386","141.811523","1638","1638","Pottery","2013-03-07T00:00:00Z","2017-02-09T19:19:33Z","ceramic","Peter Grave","Commonwealth of the Northern Mariana Islands Museum","A Ship","1","Linda Torres","1638","base","UNE 385","intact jar","B1880","1","541.32","1533.32","137.43","10.25","21258.34","20.02","6.74","26017.19","85.5","26.17","3716.37","3314.14","10.2","11.46","53.45","4179.65","46.47","4.72","94.36","1"
"http://opencontext.org/subjects/A2F57654-6498-48CF-54F2-367639D3CB9C","http://n2t.net/ark:/28722/k27s7hw3p","UNE 264","Asian Stoneware Jars","http://opencontext.org/projects/4B16F48E-6F5D-41E0-F568-FCE64BE6D3FA","Northern Mariana Islands","Conception","","http://opencontext.org/subjects/C488564F-14FA-4869-7BF7-CF70BABB3AEF","15.199386","141.811523","1638","1638","Pottery","2013-03-07T00:00:00Z","2017-02-09T08:49:32Z","ceramic","Peter Grave","Commonwealth of the Northern Mariana Islands Museum","A Ship","2","Linda Torres","1638","base","UNE 264","intact jar","B2483","2","337.11","1937.59","80.18","11.68","27044.89","21.4","5.83","19090.54","53.52","41.12","4106.89","2524.67","16.47","12.81","53.71","4175.23","68.43","3.38","98.62","1.5"
"http://opencontext.org/subjects/CCAB5D7D-E774-4B10-7F39-AF982E80DABB","http://n2t.net/ark:/28722/k2st7f110","UNE 238","Asian Stoneware Jars","http://opencontext.org/projects/4B16F48E-6F5D-41E0-F568-FCE64BE6D3FA","Northern Mariana Islands","Conception","","http://opencontext.org/subjects/C488564F-14FA-4869-7BF7-CF70BABB3AEF","15.199386","141.811523","1638","1638","Pottery","2013-03-07T00:00:00Z","2017-02-11T22:14:21Z","ceramic","Peter Grave","Commonwealth of the Northern Mariana Islands Museum","A Ship","1","Linda Torres","1638","base","UNE 238","intact jar","B2632","1","405.89","1780.08","125.77","9.49","15938.34","21.5","7.55","22202.76","71.69","22.19","2738.57","1888.27","12.63","10.56","48.34","4176.9","35.91","3.52","85.3","5"
"http://opencontext.org/subjects/038077FD-1133-4A56-ACD2-F49BDA63FFA6","http://n2t.net/ark:/28722/k2qv3c69g","UNE 272","Asian Stoneware Jars","http://opencontext.org/projects/4B16F48E-6F5D-41E0-F568-FCE64BE6D3FA","Northern Mariana Islands","Conception","","http://opencontext.org/subjects/C488564F-14FA-4869-7BF7-CF70BABB3AEF","15.199386","141.811523","1638","1638","Pottery","2013-03-07T00:00:00Z","2017-02-11T21:18:22Z","ceramic","Peter Grave","Commonwealth of the Northern Mariana Islands Museum","A Ship","1","Linda Torres","1638","base","UNE 272","intact jar","B2182","1","395.41","1503.59","98.15","9.28","17120.58","20.23","6.77","20694.76","65.36","23.3","2484.69","1766.78","9.79","10.09","42.59","3818.03","42.28","3.22","98.15","2"
"http://opencontext.org/subjects/B5BA5D76-8FEA-4952-4EEE-3374B27682B9","http://n2t.net/ark:/28722/k2zc7rx99","UNE 284","Asian Stoneware Jars","http://opencontext.org/projects/4B16F48E-6F5D-41E0-F568-FCE64BE6D3FA","Northern Mariana Islands","Conception","","http://opencontext.org/subjects/C488564F-14FA-4869-7BF7-CF70BABB3AEF","15.199386","141.811523","1638","1638","Pottery","2013-03-07T00:00:00Z","2017-02-09T14:00:17Z","ceramic","Peter Grave","Commonwealth of the Northern Mariana Islands Museum","A Ship","2","Linda Torres","1638","base","UNE 284","intact jar","B1727","2","271.31","1923.49","74.39","10.32","31375.23","20.61","5.67","16917.47","46.68","40.75","4735.82","2761.86","17.06","11.99","47.57","3894.42","68.7","3.26","99.5","3"
"http://opencontext.org/subjects/DE61242B-C0C2-486C-82CD-FB3C35632661","http://n2t.net/ark:/28722/k26h4j234","UNE 285","Asian Stoneware Jars","http://opencontext.org/projects/4B16F48E-6F5D-41E0-F568-FCE64BE6D3FA","Northern Mariana Islands","Conception","","http://opencontext.org/subjects/C488564F-14FA-4869-7BF7-CF70BABB3AEF","15.199386","141.811523","1638","1638","Pottery","2013-03-07T00:00:00Z","2017-02-11T02:36:28Z","ceramic","Peter Grave","Commonwealth of the Northern Mariana Islands Museum","B","5","Linda Torres","1638","base","UNE 285","intact jar","B2488","5","131.59","16866.95","23.76","56.74","63042.62","43.16","0.39","1993.73","12.78","18.94","21058.67","6443.5","29.83","28.61","142.73","9068.62","175.66","4.12","68.79","3"
"http://opencontext.org/subjects/FD75C945-2027-4A89-B896-E1471BD96BCB","http://n2t.net/ark:/28722/k2416z98z","UNE 148","Asian Stoneware Jars","http://opencontext.org/projects/4B16F48E-6F5D-41E0-F568-FCE64BE6D3FA","Philippines","San Diego","","http://opencontext.org/subjects/2D733C71-AABC-4ED8-4ADB-9C1E18217D86","13.539201","121.168213","1600","1600","Pottery","2013-03-07T00:00:00Z","2017-02-13T23:03:03Z","ceramic","Peter Grave","National Museum of the Philippines","A Ship","2","Eusebio Dizon","1600","base","UNE 148","intact jar","944","2","354.41","1729.87","85.71","20.33","30252.46","23.9","6.69","17660.26","58.43","34.88","3940.43","1944.64","17.18","12.09","56.98","4583.92","81.4","3.28","83.53","4"
"http://opencontext.org/subjects/67BDF2BC-E33C-4D99-9947-5D15D78A45E6","http://n2t.net/ark:/28722/k2tt4fx0b","UNE 613","Asian Stoneware Jars","http://opencontext.org/projects/4B16F48E-6F5D-41E0-F568-FCE64BE6D3FA","Philippines","Philippines (various sample sites)","","http://opencontext.org/subjects/03110DFB-31E8-4202-51CE-DFC9037BC9B8","10.962764","120.981445","960","1600","Pottery","2013-03-07T00:00:00Z","2017-02-11T22:11:30Z","ceramic","Peter Grave","The University of Michigan Museum of Anthropology Guthe Collection","A Terrestrial","1.3","University of Michigan","","","UNE 613","sherd","34644","1.3","619.42","1455.84","112.25","5.47","18582.66","16","8.95","37771.5","68.93","20.08","1549.48","4172.32","8.11","10.51","72.69","3423.36","37.63","4.84","66.68","3"
"http://opencontext.org/subjects/299CEEB1-E7DC-40CE-22EE-E4EC0F7DE18F","http://n2t.net/ark:/28722/k29g5mr3w","UNE 652","Asian Stoneware Jars","http://opencontext.org/projects/4B16F48E-6F5D-41E0-F568-FCE64BE6D3FA","Mauritius","Mauritius (wreck site)","","http://opencontext.org/subjects/E8B0E682-55B1-42B9-1AB1-321D7619DFFC","-19.932041","57.86499","1609","1609","Pottery","2013-03-07T00:00:00Z","2017-02-11T03:04:09Z","ceramic","Peter Grave","Musee national de la Marine","A Ship","4","Marjolaine Mourst","1609","","UNE 652","sherd","2110","4","372.86","3649.07","86.05","35.71","31649.06","24.52","5.2","11136.6","33.07","46.01","4147.43","944.06","38.96","15.29","50.65","5233","132.25","3.61","131.3","2"
"http://opencontext.org/subjects/28FAB0C8-E9B9-4F99-7C97-D050E15AE4D8","http://n2t.net/ark:/28722/k22b8vg0b","UNE 625","Asian Stoneware Jars","http://opencontext.org/projects/4B16F48E-6F5D-41E0-F568-FCE64BE6D3FA","Philippines","Philippines (various sample sites)","","http://opencontext.org/subjects/03110DFB-31E8-4202-51CE-DFC9037BC9B8","10.962764","120.981445","960","1600","Pottery","2013-03-07T00:00:00Z","2017-02-11T18:11:00Z","ceramic","Peter Grave","The University of Michigan Museum of Anthropology Guthe Collection","A Terrestrial","1.3","University of Michigan","","","UNE 625","sherd","M1","1.3","506.07","1860","122.69","4.54","13546.19","15.57","6.15","39036.35","82.28","23.53","1521.09","5603.1","4.9","11.31","63.02","3173.84","32.84","6.13","75.22","5"
"http://opencontext.org/subjects/A6D23412-83E7-4780-D97D-21A26E7FBFC2","http://n2t.net/ark:/28722/k2377b61x","UNE 101","Asian Stoneware Jars","http://opencontext.org/projects/4B16F48E-6F5D-41E0-F568-FCE64BE6D3FA","Philippines","San Diego","","http://opencontext.org/subjects/2D733C71-AABC-4ED8-4ADB-9C1E18217D86","13.539201","121.168213","1600","1600","Pottery","2013-03-07T00:00:00Z","2017-02-13T21:09:01Z","ceramic","Peter Grave","National Museum of the Philippines","A Ship","4","Eusebio Dizon","1600","rim & base","UNE 101","intact jar","SAN DIEGO 582","4","302.93","5341.89","57.08","32.27","37811.65","30.89","2.15","10635.8","26.01","33.19","11079.64","3199","34.01","12.84","107.74","3543.23","77.5","3.26","95.77","3"
"http://opencontext.org/subjects/97F1056E-EB49-4677-69C1-87E9B1012572","http://n2t.net/ark:/28722/k2pr7mx6h","UNE 356","Asian Stoneware Jars","http://opencontext.org/projects/4B16F48E-6F5D-41E0-F568-FCE64BE6D3FA","Northern Mariana Islands","Conception","","http://opencontext.org/subjects/C488564F-14FA-4869-7BF7-CF70BABB3AEF","15.199386","141.811523","1638","1638","Pottery","2013-03-07T00:00:00Z","2017-02-09T06:28:13Z","ceramic","Peter Grave","Commonwealth of the Northern Mariana Islands Museum","A Ship","4","Linda Torres","1638","base","","intact jar","B1629","4","466.81","2825.11","98.74","30.55","41800.43","23.93","5.78","18219.8","45.53","52.46","6106.86","4085.74","44.96","16.49","61.57","5015.19","106.09","3.78","92.89","1"
"http://opencontext.org/subjects/D1A69CE3-371D-478B-5CB6-9EBE81962B54","http://n2t.net/ark:/28722/k27940x8c","UNE 102","Asian Stoneware Jars","http://opencontext.org/projects/4B16F48E-6F5D-41E0-F568-FCE64BE6D3FA","Philippines","San Diego","","http://opencontext.org/subjects/2D733C71-AABC-4ED8-4ADB-9C1E18217D86","13.539201","121.168213","1600","1600","Pottery","2013-03-07T00:00:00Z","2017-02-11T00:18:53Z","ceramic","Peter Grave","National Museum of the Philippines","A Ship","4","Eusebio Dizon","1600","base","UNE 102","intact jar","2586","4","318.87","2806.36","69.96","38.05","45580.82","35.07","3.76","12386.09","36.93","45","6718.1","1982.48","41.27","17.93","76.57","3975.06","109.27","3.77","97","2"
"http://opencontext.org/subjects/02D854FA-F6C1-4D72-C3A7-70E7F54361F0","http://n2t.net/ark:/28722/k2639k84g","UNE 627","Asian Stoneware Jars","http://opencontext.org/projects/4B16F48E-6F5D-41E0-F568-FCE64BE6D3FA","Philippines","Philippines (various sample sites)","","http://opencontext.org/subjects/03110DFB-31E8-4202-51CE-DFC9037BC9B8","10.962764","120.981445","960","1600","Pottery","2013-03-07T00:00:00Z","2017-02-12T12:07:18Z","ceramic","Peter Grave","The University of Michigan Museum of Anthropology Guthe Collection","A Terrestrial","4","University of Michigan","","","UNE 627","sherd","34031","4","306.77","6448.51","81.8","32.52","64102.95","19.49","2.9","15420.76","29.43","30.46","3947.84","2226.25","27.12","17.67","65.94","3878.63","126.75","3.75","81.77","4"
"http://opencontext.org/subjects/C3B5D431-DE5B-44D7-50E8-6350D1B4F449","http://n2t.net/ark:/28722/k2tq5wr57","UNE 105","Asian Stoneware Jars","http://opencontext.org/projects/4B16F48E-6F5D-41E0-F568-FCE64BE6D3FA","Philippines","San Diego","","http://opencontext.org/subjects/2D733C71-AABC-4ED8-4ADB-9C1E18217D86","13.539201","121.168213","1600","1600","Pottery","2013-03-07T00:00:00Z","2017-02-11T21:02:28Z","ceramic","Peter Grave","National Museum of the Philippines","A Ship","4","Eusebio Dizon","1600","mid body","UNE 105","broken jar","3062","4","330.07","2828.61","66.06","28.19","32810.4","33.24","2.55","9672.1","34.87","40.03","8054.82","1725.65","32.18","13.24","63.31","3845.53","88.95","3.43","72.25","3"
